Start_Date End_Date U_Band B_Band V_Band R_Band I_Band
1995-01-24 1995-07-03 0.065 0.009 0.006 0.006 0.007
1995-07-08 1996-01-25 0.047 0.014 0.010 0.008 0.008
1996-07-03 1996-07-23 0.056 0.016 0.009 0.002 0.010
1996-08-01 1996-10-29 0.038 0.011 0.007 0.004 0.007
1997-02-20 1997-04-29 0.038 0.011 0.007 0.004 0.007
1997-05-06 1997-08-07 0.032 0.013 0.007 0.007 0.008
1997-09-04 1998-01-13 0.059 0.020 0.009 0.007 0.008
1998-03-21 1098-05-01 0.033 0.008 0.006 0.008 0.006
1998-06-14 1998-08-16 0.041 0.015 0.010 0.014 0.022
1998-11-28 1999-08-11 0.027 0.017 0.008 0.010 0.010
1999-09-04 2000-05-05 0.086 0.026 0.016 0.011 0.014
2000-07-16 2001-08-01 0.094 0.021 0.013 0.009 0.019
2001-11-03 2002-02-28 0.053 0.019 0.009 0.005 0.008
2002-05-15 2002-12-27 0.049 0.019 0.012 0.012 0.012
2003-01-01 2004-10-10 0.098 0.024 0.010 0.009 0.019
2012-03-11 2012-04-27 0.076 0.011 0.009 0.007 0.010
2012-05-11 2012-05-18 0.077 0.011 0.009 0.005 0.013
2012-06-27 2012-12-14 0.060 0.008 0.010 0.006 0.011
2013-04-26 2013-05-02 0.060 0.011 0.009 0.002 0.010
